Batch,Year,StudentYt
1,2002q1,36
2,2002q2,45
3,2003q0,64
4,2003q1,43
5,2003q2,34
6,2004q0,17
7,2004q1,21
8,2004q2,10
9,2005q0,34
10,2005q1,8
11,2005q2,3
12,2006q0,9
13,2006q1,10
14,2006q2,8
15,2007q0,8
16,2007q1,10
17,2007q2,8
18,2008q0,17
19,2008q1,14
20,2008q2,13
21,2009q0,52
22,2009q1,26
23,2009q2,41
24,2010q0,40
25,2010q1,15
26,2010q2,27
27,2011q0,55
28,2011q1,30
29,2011q2,42
30,2012q0,91
31,2012q1,29
32,2012q2,35
33,2013q0,96
34,2013q1,68
35,2013q2,69
36,2014q0,34
37,2014q1,76
38,2014q2,88
39,2015q0,207
40,2015q1,162
41,2015q2,93
42,2016q0,256
43,2016q1,157
44,2016q2,86
45,2017q0,272
